Date,Open,High,Low,Close,Volume,Market Cap
8/21/2020,0.5397,0.5397,0.401,0.4314,2884153.28,2884153.28
8/22/2020,0.4317,0.4987,0.412,0.4712,4198278.44,4198278.44
8/23/2020,0.469,0.494,0.4523,0.4821,10755011.03,10755011.03
8/24/2020,0.4821,0.5334,0.4792,0.5315,2243774.75,2243774.75
8/25/2020,0.5323,0.5324,0.4478,0.4619,2608675.14,2608675.14
8/26/2020,0.4619,0.4983,0.4603,0.498,1831323.23,1831323.23
8/27/2020,0.4983,0.5182,0.4701,0.5046,3018123.53,3018123.53
8/28/2020,0.5033,0.57,0.5017,0.5662,3694034.11,3694034.11
8/29/2020,0.5662,0.5691,0.5165,0.538,2172028.16,2172028.16
8/30/2020,0.538,0.563,0.5222,0.5326,2697793.49,2697793.49
8/31/2020,0.5333,0.535,0.5078,0.5097,2704706.1,2704706.1
9/1/2020,0.5105,0.5106,0.4745,0.4808,3953475.68,3953475.68
9/2/2020,0.4806,0.4814,0.4185,0.4428,3695631.01,3695631.01
9/3/2020,0.4428,0.45,0.37,0.3778,4072613.69,4072613.69
9/4/2020,0.3748,0.3813,0.3598,0.3685,3338968.01,3338968.01
9/5/2020,0.3689,0.3777,0.3183,0.3264,2996620.05,2996620.05
9/6/2020,0.3261,0.3363,0.3104,0.3325,3122558.17,3122558.17
9/7/2020,0.3325,0.3378,0.3071,0.3257,2699267.69,2699267.69
9/8/2020,0.3258,0.3287,0.3078,0.3165,2027110.78,2027110.78
9/9/2020,0.3162,0.3291,0.3084,0.3167,1831995.91,1831995.91
9/10/2020,0.3167,0.3868,0.3163,0.3498,4329407.69,4329407.69
9/11/2020,0.3497,0.357,0.3141,0.3384,4030025.95,4030025.95
9/12/2020,0.3383,0.3391,0.318,0.3294,5214097.92,5214097.92
9/13/2020,0.3291,0.3483,0.3001,0.3088,3657468.6,3657468.6
9/14/2020,0.3087,0.3247,0.3061,0.3194,1786079.78,1786079.78
9/15/2020,0.3193,0.355,0.3053,0.335,6603185.34,6603185.34
9/16/2020,0.3345,0.3612,0.3183,0.3206,6922022.93,6922022.93
9/17/2020,0.3202,0.3309,0.31,0.3119,4116296.53,4116296.53
9/18/2020,0.3116,0.3307,0.3089,0.3196,4156463.87,4156463.87
9/19/2020,0.3196,0.3226,0.3058,0.3179,1752924.5,1752924.5
9/20/2020,0.3175,0.325,0.3028,0.3094,1619967.79,1619967.79
9/21/2020,0.3093,0.3161,0.288,0.2884,2278558.04,2278558.04
9/22/2020,0.2891,0.3041,0.2881,0.3003,1095021.61,1095021.61
9/23/2020,0.3005,0.3038,0.2899,0.2909,640287.05,640287.05
9/24/2020,0.2909,0.3036,0.2879,0.3029,1367873.82,1367873.82
9/25/2020,0.3034,0.3411,0.2898,0.324,4969756.62,4969756.62
9/26/2020,0.324,0.33,0.31,0.3154,1556314.86,1556314.86
9/27/2020,0.3148,0.3184,0.3093,0.3133,789126.33,789126.33
9/28/2020,0.3134,0.3499,0.3134,0.3223,2509797.04,2509797.04
9/29/2020,0.3221,0.3579,0.3218,0.3344,3732916.57,3732916.57
9/30/2020,0.3347,0.3427,0.327,0.3348,1845947.92,1845947.92
10/1/2020,0.3346,0.3402,0.3098,0.3174,1894328.22,1894328.22
10/2/2020,0.3174,0.3395,0.2894,0.3289,3217498.12,3217498.12
10/3/2020,0.3288,0.3324,0.3083,0.3101,2381038.29,2381038.29
10/4/2020,0.31,0.3111,0.2997,0.3013,644186.76,644186.76
10/5/2020,0.301,0.3288,0.3002,0.3107,2472714.84,2472714.84
10/6/2020,0.3107,0.3208,0.2911,0.2941,1394959.67,1394959.67
10/7/2020,0.294,0.3045,0.287,0.304,752055.15,752055.15
10/8/2020,0.3041,0.305,0.2929,0.301,926544.36,926544.36
10/9/2020,0.301,0.3193,0.301,0.3183,1188578.23,1188578.23
10/10/2020,0.3184,0.3206,0.3,0.3082,1966877.33,1966877.33
10/11/2020,0.3081,0.338,0.3024,0.322,2032821.5,2032821.5
10/12/2020,0.322,0.3331,0.3114,0.3274,1291992.77,1291992.77
10/13/2020,0.3274,0.3395,0.3114,0.3171,1348979.58,1348979.58
10/14/2020,0.317,0.3358,0.3166,0.3201,2236569.81,2236569.81
10/15/2020,0.3201,0.3286,0.316,0.3249,1271434.55,1271434.55
10/16/2020,0.3249,0.3255,0.3074,0.319,1259728.41,1259728.41
10/17/2020,0.3187,0.3187,0.314,0.3178,397370.78,397370.78
10/18/2020,0.3174,0.3191,0.3116,0.3133,306103.84,306103.84
10/19/2020,0.3133,0.3305,0.3092,0.3206,1915930.79,1915930.79
10/20/2020,0.3205,0.3207,0.3072,0.3094,968751.85,968751.85
10/21/2020,0.3094,0.3191,0.3074,0.3127,679283.88,679283.88
10/22/2020,0.3128,0.3179,0.3104,0.3151,645897.3,645897.3
10/23/2020,0.315,0.33,0.3112,0.3163,2117258.24,2117258.24
10/24/2020,0.3163,0.3212,0.3097,0.3118,777736.2,777736.2
10/25/2020,0.3115,0.3131,0.3059,0.3081,434541.7,434541.7
10/26/2020,0.3076,0.3206,0.2997,0.3047,1213067.17,1213067.17
10/27/2020,0.3044,0.3205,0.3036,0.31,1476239.72,1476239.72
10/28/2020,0.31,0.321,0.304,0.3089,2925330.02,2925330.02
10/29/2020,0.3089,0.3122,0.2999,0.3015,676085.17,676085.17
10/30/2020,0.3014,0.31,0.2996,0.3042,1104291.46,1104291.46
10/31/2020,0.3037,0.3105,0.3027,0.3032,562474.79,562474.79
11/1/2020,0.3031,0.3043,0.298,0.3003,758515.79,758515.79
11/2/2020,0.3005,0.3025,0.2848,0.2866,1667622.87,1667622.87
11/3/2020,0.2865,0.2913,0.2733,0.2906,1497226.78,1497226.78
11/4/2020,0.2907,0.2913,0.2786,0.2846,640882.18,640882.18
11/5/2020,0.2849,0.295,0.2806,0.2949,823299.06,823299.06
11/6/2020,0.2953,0.308,0.294,0.3063,1347519.31,1347519.31
11/7/2020,0.3063,0.3133,0.2899,0.2912,2031776.21,2031776.21
11/8/2020,0.2912,0.3081,0.291,0.3036,869000.14,869000.14
11/9/2020,0.3035,0.3062,0.2962,0.2978,1076793.68,1076793.68
11/10/2020,0.2976,0.3114,0.2935,0.3086,1570244.75,1570244.75
11/11/2020,0.3088,0.336,0.3085,0.3202,4945725.94,4945725.94
11/12/2020,0.3207,0.3275,0.3079,0.3173,5465476.04,5465476.04
11/13/2020,0.3172,0.3285,0.3145,0.3193,2070467.38,2070467.38
11/14/2020,0.3193,0.3203,0.3033,0.3053,1851722.89,1851722.89
11/15/2020,0.3053,0.3124,0.2944,0.3078,3450601.75,3450601.75
11/16/2020,0.3077,0.3182,0.2923,0.3125,5105917.56,5105917.56
11/17/2020,0.313,0.3293,0.3088,0.3123,2647222.05,2647222.05
11/18/2020,0.312,0.3234,0.3052,0.3163,4152526.05,4152526.05
11/19/2020,0.3161,0.3307,0.3133,0.3237,3786258.57,3786258.57
11/20/2020,0.3238,0.36,0.3231,0.3436,4559266.31,4559266.31
11/21/2020,0.3435,0.3522,0.3371,0.3477,2667210.54,2667210.54
11/22/2020,0.3477,0.38,0.3361,0.3492,6937175.59,6937175.59
11/23/2020,0.3492,0.4036,0.3426,0.3795,10681925.8,10681925.8
11/24/2020,0.3795,0.4261,0.3706,0.4131,10134787.92,10134787.92
11/25/2020,0.4131,0.4329,0.3911,0.4063,8117559.62,8117559.62
11/26/2020,0.4063,0.4073,0.3382,0.3489,6832997.16,6832997.16
11/27/2020,0.349,0.4077,0.3479,0.3832,5505333.95,5505333.95
11/28/2020,0.3834,0.3909,0.3767,0.3851,1133937.25,1133937.25
11/29/2020,0.3848,0.3853,0.3747,0.3807,1264232.72,1264232.72
11/30/2020,0.3802,0.4246,0.3802,0.3998,8769699.59,8769699.59
